Artists	Album	Title	Genre
Takagi & Ketra - Takagi & Ketra	L'esercito del selfie (feat. Lorenzo Fragola & Arisa) - Single	L'esercito del selfie (feat. Lorenzo Fragola & Arisa)	Pop
Takeshi Inomata & Sound Limited	Sounds of Sound	Mustache	jazz
Talisco - Talisco	My Home - EP	Your Wish	Alternative
Talk Talk - Talk Talk	It's My Life (Remastered 1997)	Dum Dum Girl (Remastered 1997)	Rock
Tamikrest	Kidal		African
Tarnation	Gentle Creatures		Alternative
Terumasa Hino Quartet	Alone, Alone and Alone	Soulful	jazz
Teruo Nakamura	Unicorn	Some other blues	jazz
The Alan Parsons Project		Eye In The Sky
The B.B. King Blues Band	The Soul of the King		Blues
The Beach Boys	Surfin' USA		Rock
The Beatles			Rock
The Blues Brothers	Live- The Closing of Winterland, 31st December 1978		Blues
The Clash	London Calling	London Calling	punk
The Clash	The Clash		Punk
The Cranberries	Everybody Else Is Doing It, So Why Can't We?		Rock
The Cure			Rock
The Dave Brubeck Quartet - The Dave Brubeck Quartet	Time Out	Blue Rondo À la Turk	Jazz
The Delfonics	The Essential Delfonics		R&B/Soul
The Doors	The Doors		Rock
The Five Stairsteps	Stairsteps (Bonus Track Version)		R&B/Soul
The Human League	Dare		Rock
The Jimi Hendrix Experience	Are You Experienced		Rock
The Kinks	Kinda Kinks		Rock
The Little Rabbits	Dans les faux puits rouges et gris		Pop
The Lovegods - The Lovegods	Between Dogs & Wolves	14 Hours	Rock
The Mission	Carved In Sand		Alternative
The Mops	Psychedelic Sounds in Japan +2		J-Pop
The Notorious B.I.G.	Duets: The Final Chapter		Hip-Hop/Rap
The Pogues	Rum Sodomy & the Lash (Expanded Version)		Alternative
The Police	The Police: Greatest Hits		Rock
The Psychedelic Furs	All of This and Nothing		Rock
The Rolling Stones - The Rolling Stones	Let It Bleed	Gimme Shelter	Rock
The Runaways	The Mercury Albums Anthology		Hard Rock
The Smiths	The Queen Is Dead		Alternative
The Spinners	Happiness Is Being With the Spinners	Rubberband Man	soul
The Spinners - The Spinners	The Very Best of the Spinners	The Rubberband Man	R&B/Soul
The Stranglers	About Time		Rock
The Sweet	Desolation Boulevard	Fox on the Run	rock
The Sweet	Desolation Boulevard (New Extended Version)		Rock
The Traveling Wilburys	The Traveling Wilburys, Vol. 1 (Remastered 2016)		Rock
The Walkabouts	Devil's Road (Deluxe Edition)		Alternative
The White Stripes	De Stijl		Alternative
Tibor Elekes, Kirk Lightsey & Don Moye - Tibor Elekes, Kirk Lightsey & Don Moye	Le Corbu	Prelude Ravel	Contemporary Jazz
Tim Buckley - Tim Buckley	Greetings from L.A.	Nighthawkin'	Rock
Tony Allen	The Source		Jazz
Twisted Sister	You Can't Stop Rock N' Roll		Hard Rock
Téléphone	Au cœur de la nuit (Remasterisé en 2015)		Rock
U2	War		Rock
Ulfuls	Best Yanen		Rock
Unbunny	Black Strawberries		Alternative
Valparaiso	Broken Homeland		Alternative
Van Morrison	Versatile		Jazz
Various Artists			Kayokyoku
Vintage Trouble	The Bomb Shelter Sessions		Rock
Wham! - Wham!	Make It Big	Wake Me Up Before You Go-Go	Pop
Woody Guthrie	Dust Bowl Ballads		Folk
Yoko Kanno		Surely Someday
Yoko Kanno	Surely Someday		J-Pop
Youn Sun Nah	She Moves On (with Jamie Saft, Brad Jones & Dan Rieser)		Jazz
Zuco 103	
Zuco 103	After The Carnaval		World
al basile	B's Expression		Blues
ici et lui	Take It from the Top		Pop
various artists	Best of Ethiopiques - L'âge d'or de la musique éthiopienne
